lng,lat,price,number of rooms
[],[],$1,/ 1br -
[],[],$1000,/ 2br -
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.125420"" data-longitude=""-122.683622"" id=""map""></div>]","[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.125420"" data-longitude=""-122.683622"" id=""map""></div>]",$1850,/ 2br - 1100ft
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.198630"" data-longitude=""-122.842083"" id=""map""></div>]","[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.198630"" data-longitude=""-122.842083"" id=""map""></div>]",$1200,/ 2br - 800ft
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.334504"" data-longitude=""-123.138327"" id=""map""></div>]","[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.334504"" data-longitude=""-123.138327"" id=""map""></div>]",$3900,/ 5br - 3700ft
[],[],$900,/ 1br -
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.188865"" data-longitude=""-122.854089"" id=""map""></div>]","[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.188865"" data-longitude=""-122.854089"" id=""map""></div>]",$1,/ 2br - 925ft
[],[],$800,/ 2br -
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.109229"" data-longitude=""-122.867667"" id=""map""></div>]","[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.109229"" data-longitude=""-122.867667"" id=""map""></div>]",$800,/ 2br -
"[<div class=""viewposting"" data-accuracy=""17"" data-latitude=""49.262222"" data-longitude=""-123.062996"" id=""map""></div>]","[<div class=""viewposting"" data-accuracy=""17"" data-latitude=""49.262222"" data-longitude=""-123.062996"" id=""map""></div>]",$1800,/ 2br - 900ft
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.243597"" data-longitude=""-123.153463"" id=""map""></div>]","[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.243597"" data-longitude=""-123.153463"" id=""map""></div>]",$2300,/ 2br -
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.275241"" data-longitude=""-122.962292"" id=""map""></div>]","[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.275241"" data-longitude=""-122.962292"" id=""map""></div>]",$1400,/ 2br - 1100ft
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.243597"" data-longitude=""-123.153463"" id=""map""></div>]","[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.243597"" data-longitude=""-123.153463"" id=""map""></div>]",$1825,/ 1br - 700ft
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.241878"" data-longitude=""-123.147263"" id=""map""></div>]","[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.241878"" data-longitude=""-123.147263"" id=""map""></div>]",$5500,/ 4br - 4100ft
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.245562"" data-longitude=""-123.088153"" id=""map""></div>]","[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.245562"" data-longitude=""-123.088153"" id=""map""></div>]",$1400,/ 2br -
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.173682"" data-longitude=""-122.900615"" id=""map""></div>]","[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.173682"" data-longitude=""-122.900615"" id=""map""></div>]",$850,/ 2br - 850ft
[],[],$1150,/ 1br - 673ft
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.285074"" data-longitude=""-123.139160"" id=""map""></div>]","[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.285074"" data-longitude=""-123.139160"" id=""map""></div>]",$1500,/ 1br - 621ft
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.173682"" data-longitude=""-122.900615"" id=""map""></div>]","[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.173682"" data-longitude=""-122.900615"" id=""map""></div>]",$850,/ 2br - 850ft
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.279786"" data-longitude=""-123.124168"" id=""map""></div>]","[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.279786"" data-longitude=""-123.124168"" id=""map""></div>]",$1625,/ 1br - 600ft
"[<div class=""viewposting"" data-accuracy=""10"" data-latitude=""49.260531"" data-longitude=""-123.079057"" id=""map""></div>]","[<div class=""viewposting"" data-accuracy=""10"" data-latitude=""49.260531"" data-longitude=""-123.079057"" id=""map""></div>]",$1400,/ 2br - 700ft
