lng,lat,price,number of rooms
[],[],$1399000,/ 3br - 4198ft
[],[],$699000,/ 4br -
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.312757"" data-longitude=""-123.079448"" id=""map""></div>]","[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.312757"" data-longitude=""-123.079448"" id=""map""></div>]",$289800,/ 460ft
"[<div class=""viewposting"" data-accuracy=""17"" data-latitude=""49.025455"" data-longitude=""-123.058625"" id=""map""></div>]","[<div class=""viewposting"" data-accuracy=""17"" data-latitude=""49.025455"" data-longitude=""-123.058625"" id=""map""></div>]",$879900,/ 4br - 2620ft
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""52.321911"" data-longitude=""-119.750977"" id=""map""></div>]","[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""52.321911"" data-longitude=""-119.750977"" id=""map""></div>]",$129900,/ 4br - 2620ft
[],[],$129900,/ 4br - 2620ft
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.109887"" data-longitude=""-122.839147"" id=""map""></div>]","[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.109887"" data-longitude=""-122.839147"" id=""map""></div>]",$739900,/ 5974ft
[],[],$250000,/ 2br - 1284ft
[],[],$29900,/ 2br - 1284ft
"[<div class=""viewposting"" data-accuracy=""17"" data-latitude=""49.134088"" data-longitude=""-122.869658"" id=""map""></div>]","[<div class=""viewposting"" data-accuracy=""17"" data-latitude=""49.134088"" data-longitude=""-122.869658"" id=""map""></div>]",$159900,/ 1br - 692ft
"[<div class=""viewposting"" data-accuracy=""17"" data-latitude=""49.183919"" data-longitude=""-122.844057"" id=""map""></div>]","[<div class=""viewposting"" data-accuracy=""17"" data-latitude=""49.183919"" data-longitude=""-122.844057"" id=""map""></div>]",$278000,/ 2br - 820ft
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.115915"" data-longitude=""-122.802701"" id=""map""></div>]","[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.115915"" data-longitude=""-122.802701"" id=""map""></div>]",$306000,/ 3br - 1320ft
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.128041"" data-longitude=""-122.850627"" id=""map""></div>]","[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.128041"" data-longitude=""-122.850627"" id=""map""></div>]",$306000,3br -
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.292469"" data-longitude=""-122.804317"" id=""map""></div>]","[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.292469"" data-longitude=""-122.804317"" id=""map""></div>]",$306000,3br -
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.266851"" data-longitude=""-122.793643"" id=""map""></div>]","[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.266851"" data-longitude=""-122.793643"" id=""map""></div>]",$426000,/ 3br - 1334ft
[],[],$426000,/ 3br - 1334ft
[],[],$426000,/ 3br - 1334ft
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.191843"" data-longitude=""-123.108014"" id=""map""></div>]","[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.191843"" data-longitude=""-123.108014"" id=""map""></div>]",$1199999,/ 5br - 12012ft
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.392939"" data-longitude=""-123.437244"" id=""map""></div>]","[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.392939"" data-longitude=""-123.437244"" id=""map""></div>]",$263000,/ 2br - 699ft
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""48.944489"" data-longitude=""-122.767668"" id=""map""></div>]","[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""48.944489"" data-longitude=""-122.767668"" id=""map""></div>]",$79900,/ 2br - 699ft
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""48.791485"" data-longitude=""-122.703209"" id=""map""></div>]","[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""48.791485"" data-longitude=""-122.703209"" id=""map""></div>]",$555000,/ 3br - 1778ft
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.172759"" data-longitude=""-122.721644"" id=""map""></div>]","[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.172759"" data-longitude=""-122.721644"" id=""map""></div>]",$555000,/ 3br - 1778ft
"[<div class=""viewposting"" data-accuracy=""17"" data-latitude=""49.172759"" data-longitude=""-122.721644"" id=""map""></div>]","[<div class=""viewposting"" data-accuracy=""17"" data-latitude=""49.172759"" data-longitude=""-122.721644"" id=""map""></div>]",$555000,/ 3br - 1778ft
"[<div class=""viewposting"" data-accuracy=""5"" data-latitude=""49.104022"" data-longitude=""-122.338150"" id=""map""></div>]","[<div class=""viewposting"" data-accuracy=""5"" data-latitude=""49.104022"" data-longitude=""-122.338150"" id=""map""></div>]",$1849000,/ 6br - 3460ft
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.253619"" data-longitude=""-123.068323"" id=""map""></div>]","[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.253619"" data-longitude=""-123.068323"" id=""map""></div>]",$489900,/ 3br - 976ft
[],[],$1190000,/ 3br - 1300ft
"[<div class=""viewposting"" data-accuracy=""5"" data-latitude=""49.735797"" data-longitude=""-124.916933"" id=""map""></div>]","[<div class=""viewposting"" data-accuracy=""5"" data-latitude=""49.735797"" data-longitude=""-124.916933"" id=""map""></div>]",$479000,/ 3br - 1831ft
[],[],$50000,/ 3br - 1831ft
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.081665"" data-longitude=""-123.046344"" id=""map""></div>]","[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.081665"" data-longitude=""-123.046344"" id=""map""></div>]",$950000,/ 10604ft
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.046729"" data-longitude=""-122.335038"" id=""map""></div>]","[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.046729"" data-longitude=""-122.335038"" id=""map""></div>]",$169900,/ 2br - 1320ft
[],[],$149900,/ 2br - 820ft
[],[],$1299500,/ 2br - 820ft
"[<div class=""viewposting"" data-accuracy=""17"" data-latitude=""49.245525"" data-longitude=""-122.890749"" id=""map""></div>]","[<div class=""viewposting"" data-accuracy=""17"" data-latitude=""49.245525"" data-longitude=""-122.890749"" id=""map""></div>]",$275000,/ 2br - 771ft
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.308532"" data-longitude=""-123.065137"" id=""map""></div>]","[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.308532"" data-longitude=""-123.065137"" id=""map""></div>]",$275000,/ 2br - 771ft
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.188801"" data-longitude=""-122.847716"" id=""map""></div>]","[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.188801"" data-longitude=""-122.847716"" id=""map""></div>]",$259500,/ 2br - 831ft
[],[],$325000,/ 3br - 1736ft
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.291544"" data-longitude=""-122.768302"" id=""map""></div>]","[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.291544"" data-longitude=""-122.768302"" id=""map""></div>]",$568000,/ 3br - 1713ft
[],[],$1900000,/ 3br - 1713ft
[],[],$1,/ 5br -
[],[],$1,/ 5br -
[],[],$1,/ 5br -
[],[],$279900,/ 694ft
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.207140"" data-longitude=""-122.932978"" id=""map""></div>]","[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.207140"" data-longitude=""-122.932978"" id=""map""></div>]",$1098000,/ 5br - 3000ft
[],[],$1098000,/ 5br - 3000ft
[],[],$2800000,/ 4br -
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.283558"" data-longitude=""-123.104142"" id=""map""></div>]","[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.283558"" data-longitude=""-123.104142"" id=""map""></div>]",$875000,/ 2br - 1225ft
[],[],$1349000,/ 2br - 1225ft
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.269557"" data-longitude=""-123.140536"" id=""map""></div>]","[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.269557"" data-longitude=""-123.140536"" id=""map""></div>]",$50,/ 2br - 1225ft
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.231723"" data-longitude=""-122.838135"" id=""map""></div>]","[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.231723"" data-longitude=""-122.838135"" id=""map""></div>]",$69900,/ 2br - 1225ft
[],[],$5000,/ 3br - 1500ft
[],[],$5000,4br -
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.117394"" data-longitude=""-122.692595"" id=""map""></div>]","[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.117394"" data-longitude=""-122.692595"" id=""map""></div>]",$824900,/ 5br - 3811ft
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.118692"" data-longitude=""-122.738400"" id=""map""></div>]","[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.118692"" data-longitude=""-122.738400"" id=""map""></div>]",$544800,/ 5br - 2336ft
"[<div class=""viewposting"" data-accuracy=""5"" data-latitude=""49.116861"" data-longitude=""-122.807965"" id=""map""></div>]","[<div class=""viewposting"" data-accuracy=""5"" data-latitude=""49.116861"" data-longitude=""-122.807965"" id=""map""></div>]",$799800,/ 7br - 4113ft
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.166441"" data-longitude=""-122.842276"" id=""map""></div>]","[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.166441"" data-longitude=""-122.842276"" id=""map""></div>]",$599900,/ 4br - 1882ft
[],[],$199000,/ 1br - 1100ft
"[<div class=""viewposting"" data-accuracy=""17"" data-latitude=""49.038373"" data-longitude=""-122.763648"" id=""map""></div>]","[<div class=""viewposting"" data-accuracy=""17"" data-latitude=""49.038373"" data-longitude=""-122.763648"" id=""map""></div>]",$1988000,/ 5br - 1725ft
